"Data Collection: ID","Data Collection: Data Collection Name","Evaluating Laboratory Name","LabNamePermission","Type of Facility","Country","Other Country","City","Sample Set","Sample Type","Other Sample Type","Sample Population","Other Sample Population","Source Population of Samples","Other Source Population","Reference Method","Other Reference Method","RT-PCR","Reference Test Name","Type of Index Test","Repeats","Other Repeats","Blinding","Other Blinding","Type of Antibody Test","Other Type of Antibody Test","Name of Antibody Test_1","Name of Antibody Test other","AB:Manufacturer_1","AB:Manufacturer other","AB:Catalog Number","AB:Lot Number","Target Marker","Antigen Used for Detection","AB:Sample Type","Other Sample Type AB","AB:Use Case","Other Use Case","AB:Days of Sickness","AB:Total Positive","AB:Total Negative","AB:True Positive","AB:True Negative","AB:Sensitivity","AB:Specificity","AB:Total Positive_early","AB:Total Negative_early","AB:True Positive_early","AB:True Negative_early","AB:Sensitivity_early","AB:Specificity_early","AB:Total Positive_middle","AB:Total Negative_middle","AB:True Positive_middle","AB:True Negative_middle","AB:Sensitivity_middle","AB:Specificity_middle","AB:Total Positive_late","AB:Total Negative_late","AB:True Positive_late","AB:True Negative_late","AB:Sensitivity_late","AB:Specificity_late","AB:Estimated LoD","AB:LoD Unit","Other AB:LoD Unit","AB:Higher_Cut-off","AB:Lower Cut-off","Type of Antigen Test","Other Type of Antigen Test","Name of Antigen Test_1","Name of Antigen Test other","AT:Manufacturer_1","AT:Manufacturer other","AT:Catalog Number","AT:Lot Number","Target Antigen","AT:Sample Type","Other Sample Type AT","AT:Days of Sickness","AT:Total Positive","AT:Total Negative","AT:True Positive","AT:True Negative","AT:Sensitivity","AT:Specificity","AT:Total Positive_early","AT:Total Negative_early","AT:True Negative_early","AT:True Positive_early","AT:Sensitivity_early","AT:Specificity_early","AT:Total Positive_middle","AT:Total Negative_middle","AT:True Positive_middle","AT:True Negative_middle","AT:Sensitivity_middle","AT:Specificity_middle","AT:Total Positive_late","AT:Total Negative_late","AT:True Positive_late","AT:True Negative_late","AT:Sensitivity_late","AT:Specificity_late","AT:Estimated LoD","AT:LoD Unit","Other AT:LoD Unit","AT:Higher Cut-off","AT:Lower Cut-off","Type of Molecular Test","Other Type of Moleculer Test","Name of Molecular Test_2","Name of Molecular Test other","MT:Manufacturer_1","MT:Manufacturer other","MT:Catalog Number","MT:Lot Number","Template Type","RNA Extraction Kit Used","MT:Sample Type","Other Sample Type MT","MT:Days of Sickness","MT:Total Positive","MT:Total Negative","MT:True Positive","MT:True Negative","MT:Sensitivity","MT:Specificity","MT:Total Positive_early","MT:Total Negative_early","MT:True Positive_early","MT:True Negative_early","MT:Sensitivity_early","MT:Specificity_early","MT:Total Positive_middle","MT:Total Negative_middle","MT:True Positive_middle","MT:True Negative_middle","MT:Sensitivity_middle","MT:Specificity_middle","MT:Total Positive_late","MT:Total Negative_late","MT:True Positive_late","MT:True Negative_late","MT:Sensitivity_late","MT:Specificity_late","MT:Estimated LoD","MT:LoD Unit","Other MT:LoD Unit","Ct Value","Results Published","Link to Publication","DOI","Comments"
"a1L1r0000090mrT","a1L1r0000090mrT","University Hospital Leuven","Yes","Hospital","Belgium","","","Prospectively collected set","Other","Not available","Confirmed COVID-19 patients","","","","RT-PCR","","Undefined method","","Antibody test","Not available","","Not available","","Rapid diagnostic test (RDT)","","COVID-19 IgG/IgM Ab Test Cassette (Whole Blood/Serum/Plasma)","","Multi-G B.V.","","","NCP-20030181","IgG; IgM","","Whole blood","","Detection of past infection","","Total; Late (>14)","","39","","37","","","","","","","","","","","","","","","33","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","https://www.degruyter.com/view/journals/cclm/ahead-of-print/article-10.1515-cclm-2020-0817/article-10.1515-cclm-2020-0817.xml","10.1515/cclm-2020-0817",""
"a1L1r0000090gMW","a1L1r0000090gMW","Centre National de Référence (CNR) Virus des Infections Respiratoires","Yes","Public Health","France","","Paris","Retrospective set","Nasopharyngeal swabs","","Confirmed COVID-19 patients","","Not available","","RT-PCR","","Commercal kit","SuperScript™ III Platinum® One-Step Quantitative RT-PCR System (Réf. Invitrogen 1732-020).","Molecular test","Other","High concentration pools tested once
Intermediate concentration/negative pools tested in triplicate
Low concentration pools tested x5","Not available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Integrated system","","Novadiag® COVID-19 + InfA/B (lab-based & near-POC)","","Mobidiag","","","","Specimen without RNA extraction","","Nasopharyngeal swabs","","Not available","8","1","7","1","","","","","","","","","","","","","","","","","","","","","","","","","Yes","https://www.sfm-microbiologie.org/2020/04/03/covid-19/","","Binary result, no Ct"
"a1L1r0000090k8a","a1L1r0000090k8a","University of Washington Retrovirology Laboratory at Harborview Medical Center","Yes","Hospital","United States of America (USA)","","Seattle","Retrospective set","Nasopharyngeal swabs; Other","Nasal swabs","Confirmed COVID-19 patients","","Not available","","RT-PCR","","Validated in-house method","","Molecular test","Not available","","Blinded to reference results","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Integrated system","","Abbott RealTime SARS-CoV-2 EUA test","","Abbott Molecular Inc.","","","","Specimen without RNA extraction","","Nasopharyngeal swabs; Other","Nasal swabs","Not available","30","30","28","30","93.0","100.0","","","","","","","","","","","","","","","","","","","100.0","copy / mL","","","Yes","https://www.sciencedirect.com/science/article/pii/S138665322030216X?via%3Dihub","10.1016/j.jcv.2020.104474","LoD was <100 copies/mL in 19/20 samples"
"a1L1r0000090gcp","a1L1r000007p4C7","Guangdong Provincial Key Laboratory of Regional Immunity and Disease","Yes","Public Health","China","","Shenzhen","Prospectively collected set","Other","Respiratory specimen","Confirmed COVID-19 patients","","Not available","","Clinical examination; Epidemiologic criteria; RT-PCR","","Commercal kit","GeneoDX kit","Antibody test","No replicates","","Not available","","Enzyme-linked immunosorbent assay (ELISA)","","2019 Novel Coronavirus (2019-nCoV) IgM Antibody Detection Kit (ELISA Method)","","Guangzhou Darui Biotechnology Co.,Ltd","","","","IgM","Nucleocapsid protein","Serum","","Not available","","Not available","65","64","30","50","46.1","78.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","https://www.medrxiv.org/content/10.1101/2020.03.27.20045153v1.full.pdf","10.1101/2020.03.27.20045153",""
"a1L1r0000090lho","a1L1r0000090lho","Virology Laboratory, Angers University Hospital","Yes","Hospital","France","","","Retrospective set","Other","Not available","Confirmed COVID-19 patients","","Not available","","RT-PCR","","Undefined method","","Antibody test","Not available","","Not available","","Enzyme-linked immunosorbent assay (ELISA)","","Anti-SARS-CoV-2 ELISA (IgG) (manual, automated)","","EUROIMMUN AG","","","","IgG","Spike protein","Serum","","Detection of current infection; Detection of past infection","","Total; Early (~1-7); Intermediate (~8-14); Late (>14)","141","152","","","78.3","96.7","","","","","28.1","","","","","","72.4","","","","","","100.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","https://reader.elsevier.com/reader/sd/pii/S1386653220302535?token=341A1A99931901504B0EDE6F1EC192695BC491A850BE5FDF9A3467E2101C4C30CA935015148BC7A4A4F45C3916735036","10.1016/j.jcv.2020.104511","Controls: Patients with symptoms consistent with COVID-19 but with a negative RT-PCR result, pre-pandemic controls"
"a1L1r0000090lic","a1L1r0000090lic","Divisao do Laboratorio Central - Hospital das Clinicas","Yes","Hospital","Brazil","","Sao Paulo","Retrospective set","Other","Not available","Confirmed COVID-19 patients","","Not available","","RT-PCR","","Undefined method","","Antibody test","Not available","","Not available","","Rapid diagnostic test (RDT)","","Other","EUROIMMUN EIA","EUROIMMUN AG","","","","IgG","","Serum","","Not available","","Total","47","","45","","95.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","https://www.clinicsjournal.com/wp-content/uploads/articles_xml/1807-5932-clin-75-e2013/1807-5932-clin-75-e2013.pdf","10.6061/clinics/2020/e2013",""
"a1L1r0000090liD","a1L1r0000090liD","Public Health Laboratory Services Branch (PHLSB)","Yes","Public Health","China - Hong Kong / Macau","","Hong Kong","Retrospective set","Nasopharyngeal swabs; Oropharyngeal swabs","","Confirmed COVID-19 patients","","Not available","","RT-PCR","","Validated in-house method","","Antigen test","Not available","","Not available","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Rapid diagnostic test (RDT)","","BIOCREDIT COVID-19 Ag","","RapiGEN Inc.","","","","Not reported","Nasopharyngeal swabs; Other","Throat swabs (off-label use)","Not available","35","","16","","45.7","","","","","","","","","","","","","","","","","","","","18.6","Other","Ct value","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","https://reader.elsevier.com/reader/sd/pii/S1386653220302420?token=5A23D6381FD155F5726781CD7D7E9BA68F0AA3069BF7476C737C47006992924FC0AAF9B10DB564E2183EF8260B74613B","10.1016/j.jcv.2020.104500","Mean Ct value of samples: 19.35 [13.67−29.79]

Sensitivity analysis of subgroups with high viral loads

Positive samples with:
- Ct = 16.36 [13.67−18.52]: 16/20 = 80.0%"
"a1L1r0000090lnI","a1L1r0000090lnI","Ampath Laboratories","Yes","Private Laboratory","South Africa","","","Retrospective set","Other","Respiratory specimen","Confirmed COVID-19 patients","","Not available","","RT-PCR","","Undefined method","","Antibody test","Not available","","Not available","","Other","Electrochemiluminescence immunoassay (ECLIA)","Elecsys Anti‐SARS‐CoV‐2","","Roche","","","","IgG; IgM","Nucleocapsid protein","Serum","","Detection of current infection; Detection of past infection","","Total; Early (~1-7); Intermediate (~8-14); Late (>14)","","135","","135","","100.0","50","","23","","46.0","","17","","13","","76.5","","39","","36","","92.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","",""
"a1L1r0000090lnm","a1L1r0000090lnm","Brigham and Women’s Hospital","Yes","Hospital","United States of America (USA)","","Boston","Retrospective set","Other","Not available","Confirmed COVID-19 patients","","Not available","","RT-PCR","","Undefined method","","Antibody test","Not available","","Blinded to reference results","","Other","Electrochemiluminescence immunoassay (ECLIA)","Elecsys Anti‐SARS‐CoV‐2","","Roche","","","","IgA; IgG; IgM","Nucleocapsid protein","Plasma","","Detection of past infection","","Total; Intermediate (~8-14); Late (>14)","","232","","231","","99.6","","","","","","","30","","26","","86.7","","38","","35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","https://www.medrxiv.org/content/10.1101/2020.06.24.20139006v2.full.pdf","10.1101/2020.06.24.20139006","Controls: Pre-pandemic controls"
"a1L1r0000090lnD","a1L1r0000090lnD","PathCare N1 Reference Laboratory","Yes","Private Laboratory","South Africa","","","Retrospective set","Other","Not available","Confirmed COVID-19 patients","","Not available","","RT-PCR","","Undefined method","","Antibody test","Not available","","Not available","","Other","Electrochemiluminescence immunoassay (ECLIA)","Elecsys Anti‐SARS‐CoV‐2","","Roche","","","","Total Ig","Nucleocapsid protein","Serum","","Detection of current infection; Detection of past infection","","Total; Early (~1-7); Intermediate (~8-14); Late (>14)","56","54","44","54","79.0","100.0","19","","11","","57.9","","9","","7","","77.8","","28","","26","","92.9","","","","","≥1.0","<1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","Controls: Pre-pandemic controls, EQA material"
